id,Robot 1,Robot 2,Robot 3,Robot 4,Robot 5,Robot 6,Robot 7,Robot 8,Robot 9,Robot 10,Average
1,-1.096198266,8.258737653,-5.651400454,-9.183025333,-9.30448089,-2.637070006,0.214606718,-14.92945017,4.067528006,-3.74582242,-3.400657516
2,-1.096198266,12.51513566,-2.03864561,-2.822228805,-0.099620642,4.001072097,0.214606718,-1.908733981,4.067528006,-1.029282626,1.180363255
3,-1.096198266,12.51513566,4.84812616,0.404726443,-0.099620642,10.08587258,0.214606718,-1.539050012,4.067528006,-1.029282626,2.837184402
4,-0.314739829,12.51513566,4.84812616,0.404726443,-0.099620642,10.08587258,0.214606718,-1.539050012,4.067528006,5.315354367,3.549793945
5,7.168752704,12.51513566,6.987048069,0.404726443,-0.099620642,10.08587258,22.61605433,1.696431179,4.067528006,5.315354367,7.075728269
6,12.64249329,12.51513566,6.987048069,0.404726443,6.706824961,10.08587258,22.61605433,1.696431179,4.067528006,5.315354367,8.303746888
7,12.64249329,12.51513566,6.987048069,0.404726443,6.706824961,10.08587258,22.61605433,1.696431179,4.067528006,5.315354367,8.303746888
8,12.64249329,12.51513566,6.987048069,0.404726443,6.706824961,10.08587258,22.61605433,1.977080196,13.26215386,5.315354367,9.251274376
9,12.64249329,12.51513566,6.987048069,9.783581307,6.706824961,12.40587768,22.61605433,1.977080196,13.26215386,5.315354367,10.42116037
10,12.64249329,12.51513566,6.987048069,9.783581307,6.706824961,12.40587768,22.61605433,1.977080196,13.26215386,18.59439703,11.74906464
11,12.64249329,12.51513566,6.987048069,9.783581307,6.706824961,12.40587768,22.61605433,1.977080196,13.26215386,18.59439703,11.74906464
12,12.64249329,12.51513566,6.987048069,9.783581307,6.706824961,12.40587768,22.61605433,1.977080196,13.26215386,18.59439703,11.74906464
13,12.64249329,12.51513566,11.23986072,10.52708475,6.706824961,12.40587768,27.18458675,1.977080196,13.26215386,38.46804315,14.6929141
14,12.64249329,12.51513566,11.23986072,10.52708475,6.706824961,12.40587768,27.18458675,11.06981716,13.26215386,38.46804315,15.6021878
15,12.64249329,12.51513566,11.23986072,10.52708475,6.706824961,12.40587768,27.18458675,11.06981716,13.26215386,38.46804315,15.6021878
16,12.64249329,12.51513566,11.23986072,10.52708475,6.706824961,17.20343147,27.18458675,11.06981716,13.26215386,48.89206812,17.12434567
17,12.64249329,12.51513566,13.764764,10.52708475,6.706824961,17.20343147,27.18458675,14.30232325,13.26215386,48.89206812,17.70008661
18,12.64249329,12.51513566,24.43674623,10.52708475,8.188556578,17.20343147,27.18458675,14.30232325,13.26215386,48.89206812,18.915458
19,12.64249329,12.51513566,24.43674623,10.52708475,8.188556578,17.20343147,27.18458675,14.30232325,13.26215386,48.89206812,18.915458
20,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,48.89206812,23.94560383
21,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,48.89206812,23.94560383
22,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
23,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
24,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
25,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
26,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
27,12.64249329,54.75623095,24.43674623,10.52708475,8.188556578,25.26379455,27.18458675,14.30232325,13.26215386,49.62923232,24.01932025
28,12.64249329,54.75623095,27.36560755,10.52708475,8.188556578,28.39117444,27.18458675,14.30232325,13.26215386,49.62923232,24.62494437
29,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,49.62923232,26.2501001
30,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,75.18003104,28.80517997
31,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,75.18003104,28.80517997
32,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,75.18003104,28.80517997
33,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,75.18003104,28.80517997
34,12.64249329,54.75623095,37.02474394,10.52708475,8.188556578,34.69426211,27.18458675,14.5916564,13.26215386,75.18003104,28.80517997
35,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.26215386,75.18003104,31.05004722
36,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.05156847
37,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.05156847
38,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.05156847
39,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.05156847
40,12.64249329,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.05156847
41,17.03197468,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.49051661
42,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
43,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
44,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
45,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
46,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
47,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
48,21.1665435,54.75623095,37.02474394,10.52708475,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,31.90397349
49,21.1665435,54.75623095,37.02474394,15.99603843,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,32.45086886
50,21.1665435,54.75623095,37.02474394,15.99603843,20.90917129,34.69426211,27.18458675,24.31971416,13.2773664,75.18003104,32.45086886
