fitness,FLUAmp,FRUAmp,BLUAmp,BRUAmp,FLLAmp,FRLAmp,BLLAmp,BRLAmp,FLUFreq,FRUFreq,BLUFreq,BRUFreq,FLLFreq,FRLFreq,BLLFreq,BRLFreq,FLUOffset,FRUOffset,BLUOffset,BRUOffset,FLLOffset,FRLOffset,BLLOffset,BRLOffset,motorJointRange
24.53903561,1.864697625,1.864697625,1.864697625,1.864697625,1.864697625,1.864697625,1.864697625,1.864697625,2.09870127,2.09870127,2.09870127,2.09870127,2.09870127,2.09870127,2.09870127,2.09870127,1.065266668,1.065266668,6.468134131,6.468134131,1.065266668,1.065266668,6.468134131,6.468134131,2.951837545
24.53734472,2.991510483,2.991510483,2.991510483,2.991510483,2.991510483,2.991510483,2.991510483,2.991510483,88.08131556,88.08131556,88.08131556,88.08131556,88.08131556,88.08131556,88.08131556,88.08131556,5.104656062,5.104656062,7.710248712,7.710248712,5.104656062,5.104656062,7.710248712,7.710248712,2.975127873
24.41695418,2.846272204,2.846272204,2.846272204,2.846272204,2.846272204,2.846272204,2.846272204,2.846272204,8.362612897,8.362612897,8.362612897,8.362612897,8.362612897,8.362612897,8.362612897,8.362612897,5.116879205,5.116879205,6.095035623,6.095035623,5.116879205,5.116879205,6.095035623,6.095035623,4.269149328
22.73073469,0.396111304,0.396111304,0.396111304,0.396111304,0.396111304,0.396111304,0.396111304,0.396111304,4.289650096,4.289650096,4.289650096,4.289650096,4.289650096,4.289650096,4.289650096,4.289650096,3.582317583,3.582317583,7.961029596,7.961029596,3.582317583,3.582317583,7.961029596,7.961029596,4.180160601
22.27826283,1.703158939,1.703158939,1.703158939,1.703158939,1.703158939,1.703158939,1.703158939,1.703158939,57.32982905,57.32982905,57.32982905,57.32982905,57.32982905,57.32982905,57.32982905,57.32982905,6.732633735,6.732633735,7.995825478,7.995825478,6.732633735,6.732633735,7.995825478,7.995825478,3.129915083
21.66500436,0.207543471,0.207543471,2.121444,2.121444,0.207543471,0.207543471,2.121444,2.121444,2.120593412,2.120593412,7.869637187,7.869637187,2.120593412,2.120593412,7.869637187,7.869637187,4.182543833,4.182543833,4.850370814,4.850370814,4.182543833,4.182543833,4.850370814,4.850370814,3.352913646
21.45143528,0.120657438,0.120657438,0.120657438,0.120657438,0.120657438,0.120657438,0.120657438,0.120657438,35.89168908,35.89168908,35.89168908,35.89168908,35.89168908,35.89168908,35.89168908,35.89168908,7.094986317,7.094986317,8.30726638,8.30726638,7.094986317,7.094986317,8.30726638,8.30726638,1.306612963
20.98950877,1.284647407,1.284647407,1.284647407,1.284647407,1.284647407,1.284647407,1.284647407,1.284647407,36.54823157,36.54823157,36.54823157,36.54823157,36.54823157,36.54823157,36.54823157,36.54823157,5.495656768,5.495656768,4.638096345,4.638096345,5.495656768,5.495656768,4.638096345,4.638096345,0.899709616
19.83013245,1.373601546,1.373601546,1.373601546,1.373601546,1.373601546,1.373601546,1.373601546,1.373601546,63.27452579,63.27452579,63.27452579,63.27452579,63.27452579,63.27452579,63.27452579,63.27452579,0.463097093,0.463097093,9.074619721,9.074619721,0.463097093,0.463097093,9.074619721,9.074619721,2.117809462
